We carried out a set of experiements with different values of N, M and L. The results for which are attached below. 

We used the naive greedy algorithm for calculating the shortest super string. N represents the length of the string, M the number of different fragments and L the length of each fragment. We find the ratio of the length of the original string to the length of the string we found using the algorithm. Along with this, we also find the time it takes to run that particular experiment and print this. 

The results are pasted below. 

N = 32, M = 8, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.1428, Time = 0m0.005s
N = 512, M = 8, L = 64, Coverage = 1.0000, Len(original)/Len(found) = 1.6677, Time = 0m0.003s
N = 512, M = 8, L = 128, Coverage = 2.0000, Len(original)/Len(found) = 1.1934, Time = 0m0.009s
N = 512, M = 8, L = 256, Coverage = 4.0000, Len(original)/Len(found) = 1.2132, Time = 0m0.004s
N = 512, M = 16, L = 8, Coverage = .2500, Len(original)/Len(found) = 5.2783, Time = 0m0.004s
N = 512, M = 16, L = 16, Coverage = .5000, Len(original)/Len(found) = 2.6528, Time = 0m0.004s
N = 512, M = 16, L = 32, Coverage = 1.0000, Len(original)/Len(found) = 1.5103, Time = 0m0.016s
N = 512, M = 16, L = 64, Coverage = 2.0000, Len(original)/Len(found) = 1.2161, Time = 0m0.009s
N = 512, M = 16, L = 128, Coverage = 4.0000, Len(original)/Len(found) = 1.0078, Time = 0m0.011s
N = 512, M = 16, L = 256, Coverage = 8.0000, Len(original)/Len(found) = 1.0513, Time = 0m0.036s
N = 512, M = 32, L = 8, Coverage = .5000, Len(original)/Len(found) = 3.0295, Time = 0m0.015s
N = 512, M = 32, L = 16, Coverage = 1.0000, Len(original)/Len(found) = 1.7123, Time = 0m0.014s
N = 512, M = 32, L = 32, Coverage = 2.0000, Len(original)/Len(found) = 1.1154, Time = 0m0.019s
N = 512, M = 32, L = 64, Coverage = 4.0000, Len(original)/Len(found) = 1.0343, Time = 0m0.043s
N = 512, M = 32, L = 128, Coverage = 8.0000, Len(original)/Len(found) = 1.0078, Time = 0m0.050s
N = 512, M = 32, L = 256, Coverage = 16.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.107s
N = 512, M = 64, L = 8, Coverage = 1.0000, Len(original)/Len(found) = 2.0813, Time = 0m0.088s
N = 512, M = 64, L = 16, Coverage = 2.0000, Len(original)/Len(found) = 1.2307, Time = 0m0.094s
N = 512, M = 64, L = 32, Coverage = 4.0000, Len(original)/Len(found) = 1.0219, Time = 0m0.154s
N = 512, M = 64, L = 64, Coverage = 8.0000, Len(original)/Len(found) = 1.0078, Time = 0m0.213s
N = 512, M = 64, L = 128, Coverage = 16.0000, Len(original)/Len(found) = 1.0158, Time = 0m0.326s
N = 512, M = 64, L = 256, Coverage = 32.0000, Len(original)/Len(found) = 1.0199, Time = 0m0.596s
N = 512, M = 128, L = 8, Coverage = 2.0000, Len(original)/Len(found) = 1.4545, Time = 0m0.602s
N = 512, M = 128, L = 16, Coverage = 4.0000, Len(original)/Len(found) = 1.0578, Time = 0m0.710s
N = 512, M = 128, L = 32, Coverage = 8.0000, Len(original)/Len(found) = 1.0118, Time = 0m0.935s
N = 512, M = 128, L = 64, Coverage = 16.0000, Len(original)/Len(found) = 1.0118, Time = 0m1.561s
N = 512, M = 128, L = 128, Coverage = 32.0000, Len(original)/Len(found) = 1.0058, Time = 0m2.548s
N = 512, M = 128, L = 256, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 0m4.446s
N = 512, M = 256, L = 8, Coverage = 4.0000, Len(original)/Len(found) = 1.1058, Time = 0m4.265s
N = 512, M = 256, L = 16, Coverage = 8.0000, Len(original)/Len(found) = 1.0058, Time = 0m5.150s
N = 512, M = 256, L = 32, Coverage = 16.0000, Len(original)/Len(found) = 1.0058, Time = 0m7.313s
N = 512, M = 256, L = 64, Coverage = 32.0000, Len(original)/Len(found) = 1.0078, Time = 0m12.155s
N = 512, M = 256, L = 128, Coverage = 64.0000, Len(original)/Len(found) = 1.0019, Time = 0m19.070s
N = 512, M = 256, L = 256, Coverage = 128.0000, Len(original)/Len(found) = 1.0039, Time = 0m34.615s
N = 512, M = 512, L = 8, Coverage = 8.0000, Len(original)/Len(found) = 1.0078, Time = 0m32.120s
N = 512, M = 512, L = 16, Coverage = 16.0000, Len(original)/Len(found) = 1.0000, Time = 0m38.921s
N = 512, M = 512, L = 32, Coverage = 32.0000, Len(original)/Len(found) = 1.0000, Time = 1m2.839s
N = 512, M = 512, L = 64, Coverage = 64.0000, Len(original)/Len(found) = 1.0000, Time = 1m37.196s
N = 512, M = 512, L = 128, Coverage = 128.0000, Len(original)/Len(found) = 1.0039, Time = 3m5.829s
N = 512, M = 512, L = 256, Coverage = 256.0000, Len(original)/Len(found) = 1.0019, Time = 6m8.637s




